,location,key,value,type
695,Shalvey,rou_pro_w_,64.9477,
696,Tregear,rou_pro_w_,68.3417,
697,Whalan,rou_pro_w_,66.9988,
698,Willmot,rou_pro_w_,57.362,
699,Erskine Park,rou_pro_w_,55.1418,
700,Hassall Grove,rou_pro_w_,59.6528,
701,Glendenning,rou_pro_w_,58.2961,
702,Schofields (Chifley),rou_pro_w_,56.7055,
703,Dean Park,rou_pro_w_,58.7241,
704,Marsden Park,rou_pro_w_,58.5627,
705,Oxley Park,se_eu,0.2477,
706,St Marys South,se_eu,0.2561,
707,St Clair West,se_eu,0.2411,
708,Bennett Road,se_eu,0.169,
709,Bidwill,se_eu,0.0379,
710,Blackett,se_eu,0.149,
711,St Clair East,se_eu,0.1613,
712,Dharruk,se_eu,0.0816,
713,Eastern Creek,se_eu,0.2144,
714,Emerton,se_eu,0.1123,
715,Hebersham,se_eu,0,
716,Lethbridge Park,se_eu,0.2811,
717,Whalan South,se_eu,0.1025,
718,Minchinbury,se_eu,0.0964,
719,Mount Druitt,se_eu,0.0708,
720,Mount Druitt North,se_eu,0.0691,
721,Mount Druitt South,se_eu,0.0827,
722,Plumpton,se_eu,0.1663,
723,Rooty Hill North,se_eu,0.0509,
724,Rooty Hill South,se_eu,0,
725,St Clair,se_eu,0.2589,
726,St Marys North,se_eu,0,
727,Shalvey,se_eu,0.2168,
728,Tregear,se_eu,0.2017,
729,Whalan,se_eu,0.2204,
730,Willmot,se_eu,0.0688,
731,Erskine Park,se_eu,0.1653,
732,Hassall Grove,se_eu,0.1371,
733,Glendenning,se_eu,0.2156,
734,Schofields (Chifley),se_eu,0,
735,Dean Park,se_eu,0.4617,
736,Marsden Park,se_eu,0,
737,Oxley Park,ex_in_,0.6397,
738,St Marys South,ex_in_,0,
739,St Clair West,ex_in_,0.2128,
740,Bennett Road,ex_in_,0.1909,
741,Bidwill,ex_in_,0.1292,
742,Blackett,ex_in_,0.2435,
743,St Clair East,ex_in_,0.5793,
744,Dharruk,ex_in_,0.436,
745,Eastern Creek,ex_in_,0,
746,Emerton,ex_in_,0.3927,
747,Hebersham,ex_in_,0.6076,
748,Lethbridge Park,ex_in_,0,
749,Whalan South,ex_in_,0,
750,Minchinbury,ex_in_,0.6902,
751,Mount Druitt,ex_in_,0.729,
752,Mount Druitt North,ex_in_,0.3947,
753,Mount Druitt South,ex_in_,0.5226,
754,Plumpton,ex_in_,0.2337,
755,Rooty Hill North,ex_in_,0.8018,
756,Rooty Hill South,ex_in_,0,
757,St Clair,ex_in_,0.2369,
758,St Marys North,ex_in_,0,
759,Shalvey,ex_in_,0.2242,
760,Tregear,ex_in_,0.8375,
761,Whalan,ex_in_,0.4981,
762,Willmot,ex_in_,2.8221,
763,Erskine Park,ex_in_,0.6833,
764,Hassall Grove,ex_in_,0.419,
765,Glendenning,ex_in_,0.5274,
766,Schofields (Chifley),ex_in_,5.9767,
767,Dean Park,ex_in_,0.8724,
768,Marsden Park,ex_in_,7.4924,
769,Oxley Park,addre_5,36.5093,
770,St Marys South,addre_5,32.8678,
771,St Clair West,addre_5,24.0682,
772,Bennett Road,addre_5,26.0882,
773,Bidwill,addre_5,23.0255,
774,Blackett,addre_5,25.2608,
775,St Clair East,addre_5,23.3511,
776,Dharruk,addre_5,25.5713,
777,Eastern Creek,addre_5,30.5218,
778,Emerton,addre_5,25.3463,
779,Hebersham,addre_5,24.2825,
780,Lethbridge Park,addre_5,23.1375,
781,Whalan South,addre_5,21.9604,
782,Minchinbury,addre_5,23.1108,
783,Mount Druitt,addre_5,41.7502,
784,Mount Druitt North,addre_5,33.556,
785,Mount Druitt South,addre_5,38.2627,
786,Plumpton,addre_5,28.8883,
787,Rooty Hill North,addre_5,29.0317,
788,Rooty Hill South,addre_5,30.3786,
789,St Clair,addre_5,24.0561,
790,St Marys North,addre_5,24.3214,
791,Shalvey,addre_5,25.7769,
792,Tregear,addre_5,26.087,
793,Whalan,addre_5,24.3571,
794,Willmot,addre_5,42.3165,
795,Erskine Park,addre_5,19.7685,
796,Hassall Grove,addre_5,25.9457,
797,Glendenning,addre_5,32.0008,
798,Schofields (Chifley),addre_5,24.568,
799,Dean Park,addre_5,27.0839,
800,Marsden Park,addre_5,29.9778,
801,Oxley Park,o_n_c_r,3.7593,
802,St Marys South,o_n_c_r,4.7508,
803,St Clair West,o_n_c_r,3.486,
804,Bennett Road,o_n_c_r,4.5064,
805,Bidwill,o_n_c_r,3.735,
806,Blackett,o_n_c_r,1.913,
807,St Clair East,o_n_c_r,3.9981,
808,Dharruk,o_n_c_r,5.7127,
809,Eastern Creek,o_n_c_r,8.4346,
810,Emerton,o_n_c_r,3.1402,
811,Hebersham,o_n_c_r,5.9111,
812,Lethbridge Park,o_n_c_r,2.9511,
813,Whalan South,o_n_c_r,3.413,
814,Minchinbury,o_n_c_r,7.1104,
815,Mount Druitt,o_n_c_r,8.8131,
816,Mount Druitt North,o_n_c_r,6.1276,
817,Mount Druitt South,o_n_c_r,5.4752,
818,Plumpton,o_n_c_r,9.8017,
819,Rooty Hill North,o_n_c_r,7.2034,
820,Rooty Hill South,o_n_c_r,7.8276,
821,St Clair,o_n_c_r,2.9367,
822,St Marys North,o_n_c_r,3.9891,
823,Shalvey,o_n_c_r,2.4355,
824,Tregear,o_n_c_r,1.7717,
825,Whalan,o_n_c_r,3.8151,
826,Willmot,o_n_c_r,3.3716,
827,Erskine Park,o_n_c_r,3.6561,
828,Hassall Grove,o_n_c_r,7.5161,
829,Glendenning,o_n_c_r,16.0588,
830,Schofields (Chifley),o_n_c_r,2.027,
831,Dean Park,o_n_c_r,6.5061,
832,Marsden Park,o_n_c_r,3.0303,
833,Oxley Park,d599_,22.1101,
834,St Marys South,d599_,23.6292,
835,St Clair West,d599_,9.0139,
836,Bennett Road,d599_,18.0626,
837,Bidwill,d599_,29.1883,
838,Blackett,d599_,30.1447,
839,St Clair East,d599_,11.2372,
840,Dharruk,d599_,18.9873,
841,Eastern Creek,d599_,15.1079,
842,Emerton,d599_,28.9766,
843,Hebersham,d599_,19.8068,
844,Lethbridge Park,d599_,34.5064,
845,Whalan South,d599_,29.7143,
846,Minchinbury,d599_,10.8782,
847,Mount Druitt,d599_,19.3101,
848,Mount Druitt North,d599_,21.5839,
849,Mount Druitt South,d599_,23.322,
850,Plumpton,d599_,9.2072,
851,Rooty Hill North,d599_,19.5025,
852,Rooty Hill South,d599_,19.5344,
853,St Clair,d599_,12.3457,
854,St Marys North,d599_,27.0138,
855,Shalvey,d599_,29.2461,
856,Tregear,d599_,30.9353,
857,Whalan,d599_,32.5633,
858,Willmot,d599_,23.9487,
859,Erskine Park,d599_,8.1978,
860,Hassall Grove,d599_,10.35,
861,Glendenning,d599_,8.5813,
862,Schofields (Chifley),d599_,18.7793,
863,Dean Park,d599_,13.5972,
864,Marsden Park,d599_,26.3056,
865,Oxley Park,per_ser,6.6098,
866,St Marys South,per_ser,7.0267,
867,St Clair West,per_ser,5.5339,
868,Bennett Road,per_ser,6.6179,
869,Bidwill,per_ser,6.5891,
870,Blackett,per_ser,6.6558,
871,St Clair East,per_ser,5.9756,
872,Dharruk,per_ser,6.1773,
873,Eastern Creek,per_ser,6.1856,
874,Emerton,per_ser,8.7696,
875,Hebersham,per_ser,6.2785,
876,Lethbridge Park,per_ser,8.0423,
877,Whalan South,per_ser,7.1864,
878,Minchinbury,per_ser,6.5433,
879,Mount Druitt,per_ser,7.6245,
880,Mount Druitt North,per_ser,5.6579,
881,Mount Druitt South,per_ser,7.7816,
882,Plumpton,per_ser,6.3687,
883,Rooty Hill North,per_ser,7.331,
884,Rooty Hill South,per_ser,6.517,
885,St Clair,per_ser,5.8824,
886,St Marys North,per_ser,7.3541,
887,Shalvey,per_ser,10.0897,
888,Tregear,per_ser,8.794,
889,Whalan,per_ser,6.7248,
890,Willmot,per_ser,5.3988,
891,Erskine Park,per_ser,7.2771,
892,Hassall Grove,per_ser,6.5849,
893,Glendenning,per_ser,5.071,
894,Schofields (Chifley),per_ser,5.9767,
895,Dean Park,per_ser,5.3435,
896,Marsden Park,per_ser,6.8807,
897,Oxley Park,cwch,26.1496,
898,St Marys South,cwch,29.7203,
899,St Clair West,cwch,33.5948,
900,Bennett Road,cwch,30.9873,
901,Bidwill,cwch,28.8462,
902,Blackett,cwch,25.0737,
903,St Clair East,cwch,34.5952,
904,Dharruk,cwch,32.9167,
905,Eastern Creek,cwch,38.7097,
906,Emerton,cwch,26.5211,
907,Hebersham,cwch,33.0211,
908,Lethbridge Park,cwch,22.9306,
909,Whalan South,cwch,26.3966,
910,Minchinbury,cwch,38.9301,
911,Mount Druitt,cwch,46.1116,
912,Mount Druitt North,cwch,37.3418,
913,Mount Druitt South,cwch,35.3519,
914,Plumpton,cwch,44.9571,
915,Rooty Hill North,cwch,33.3752,
916,Rooty Hill South,cwch,34.7156,
917,St Clair,cwch,29.0202,
918,St Marys North,cwch,25.102,
919,Shalvey,cwch,25.3211,
920,Tregear,cwch,23.7197,
921,Whalan,cwch,21.813,
922,Willmot,cwch,30.303,
923,Erskine Park,cwch,37.8151,
924,Hassall Grove,cwch,44.4918,
925,Glendenning,cwch,48.4364,
926,Schofields (Chifley),cwch,30.7918,
927,Dean Park,cwch,38.9931,
928,Marsden Park,cwch,25.656,
929,Oxley Park,indigenous,3.6568,
930,St Marys South,indigenous,3.7244,
931,St Clair West,indigenous,2.6516,
932,Bennett Road,indigenous,3.8034,
933,Bidwill,indigenous,10.106,
934,Blackett,indigenous,8.8425,
935,St Clair East,indigenous,2.3545,
936,Dharruk,indigenous,4.5702,
937,Eastern Creek,indigenous,2.1444,
938,Emerton,indigenous,5.8031,
939,Hebersham,indigenous,5.1292,
940,Lethbridge Park,indigenous,8.7714,
941,Whalan South,indigenous,8.0943,
942,Minchinbury,indigenous,1.8445,
943,Mount Druitt,indigenous,0.8727,
944,Mount Druitt North,indigenous,2.6485,
945,Mount Druitt South,indigenous,2.544,
946,Plumpton,indigenous,1.5941,
947,Rooty Hill North,indigenous,2.798,
948,Rooty Hill South,indigenous,1.6437,
949,St Clair,indigenous,2.9558,
950,St Marys North,indigenous,5.7275,
951,Shalvey,indigenous,8.4076,
952,Tregear,indigenous,9.7266,
953,Whalan,indigenous,6.3924,
954,Willmot,indigenous,7.2477,
955,Erskine Park,indigenous,1.8188,
956,Hassall Grove,indigenous,2.3026,
957,Glendenning,indigenous,1.9792,
958,Schofields (Chifley),indigenous,1.6529,
959,Dean Park,indigenous,2.3083,
960,Marsden Park,indigenous,3.2568,
961,Oxley Park,opfh,29.9169,
962,St Marys South,opfh,24.6503,
963,St Clair West,opfh,17.5817,
964,Bennett Road,opfh,21.8228,
965,Bidwill,opfh,39.8422,
966,Blackett,opfh,37.4631,
967,St Clair East,opfh,18.7536,
968,Dharruk,opfh,25.625,
969,Eastern Creek,opfh,18.5484,
970,Emerton,opfh,36.8175,
971,Hebersham,opfh,23.9657,
972,Lethbridge Park,opfh,39.4855,
973,Whalan South,opfh,34.2179,
974,Minchinbury,opfh,14.8835,
975,Mount Druitt,opfh,17.1546,
976,Mount Druitt North,opfh,24.141,
977,Mount Druitt South,opfh,22.2586,
978,Plumpton,opfh,15.7189,
979,Rooty Hill North,opfh,21.1188,
980,Rooty Hill South,opfh,19.5498,
981,St Clair,opfh,17.2027,
982,St Marys North,opfh,33.2653,
983,Shalvey,opfh,35.9633,
984,Tregear,opfh,40.2516,
985,Whalan,opfh,40.2266,
986,Willmot,opfh,26.3203,
987,Erskine Park,opfh,12.535,
988,Hassall Grove,opfh,16.3385,
989,Glendenning,opfh,16.9455,
990,Schofields (Chifley),opfh,16.7155,
991,Dean Park,opfh,19.4472,
992,Marsden Park,opfh,18.6589,
993,Oxley Park,lat_1,-33.7785317,
994,St Marys South,lat_1,-33.78594458,
995,St Clair West,lat_1,-33.80527232,
996,Bennett Road,lat_1,-33.7911216,
997,Bidwill,lat_1,-33.74243676,
998,Blackett,lat_1,-33.74359416,
999,St Clair East,lat_1,-33.80618371,
1000,Dharruk,lat_1,-33.75858136,
1001,Eastern Creek,lat_1,-33.80087448,
1002,Emerton,lat_1,-33.75072376,
1003,Hebersham,lat_1,-33.75797852,
1004,Lethbridge Park,lat_1,-33.7437366,
1005,Whalan South,lat_1,-33.77718011,
1006,Minchinbury,lat_1,-33.79364768,
1007,Mount Druitt,lat_1,-33.77997901,
1008,Mount Druitt North,lat_1,-33.77168008,
1009,Mount Druitt South,lat_1,-33.790735,
1010,Plumpton,lat_1,-33.76046221,
1011,Rooty Hill North,lat_1,-33.77974439,
1012,Rooty Hill South,lat_1,-33.79055857,
1013,St Clair,lat_1,-33.80277401,
1014,St Marys North,lat_1,-33.76581414,
1015,Shalvey,lat_1,-33.73514271,
1016,Tregear,lat_1,-33.75298918,
1017,Whalan,lat_1,-33.75799272,
1018,Willmot,lat_1,-33.74097774,
1019,Erskine Park,lat_1,-33.864921,
1020,Hassall Grove,lat_1,-33.74444664,
1021,Glendenning,lat_1,-33.761828,
1022,Schofields (Chifley),lat_1,-33.7244912,
1023,Dean Park,lat_1,-33.74664645,
1024,Marsden Park,lat_1,-33.73305746,
1025,Oxley Park,long_2,150.8034258,
1026,St Marys South,long_2,150.785827,
1027,St Clair West,long_2,150.7824357,
1028,Bennett Road,long_2,150.8119132,
1029,Bidwill,long_2,150.8348211,
1030,Blackett,long_2,150.8237687,
1031,St Clair East,long_2,150.8114852,
1032,Dharruk,long_2,150.8226981,
1033,Eastern Creek,long_2,150.8715578,
1034,Emerton,long_2,150.8108646,
1035,Hebersham,long_2,150.8348211,
1036,Lethbridge Park,long_2,150.8096033,
1037,Whalan South,long_2,150.8105906,
1038,Minchinbury,long_2,150.8446953,
1039,Mount Druitt,long_2,150.8349505,
1040,Mount Druitt North,long_2,150.8219782,
1041,Mount Druitt South,long_2,150.8275473,
1042,Plumpton,long_2,150.8472489,
1043,Rooty Hill North,long_2,150.8478526,
1044,Rooty Hill South,long_2,150.8652797,
1045,St Clair,long_2,150.7932327,
1046,St Marys North,long_2,150.7976226,
1047,Shalvey,long_2,150.8189207,
1048,Tregear,long_2,150.8014519,
1049,Whalan,long_2,150.815619,
1050,Willmot,long_2,150.816745,
1051,Erskine Park,long_2,150.8534727,
1052,Hassall Grove,long_2,150.849391,
1053,Glendenning,long_2,150.8652322,
1054,Schofields (Chifley),long_2,150.8832887,
1055,Dean Park,long_2,150.8758769,
1056,Marsden Park,long_2,150.8726371,
1057,Oxley Park,d600_2499,57.7133,
1058,St Marys South,d600_2499,56.4621,
1059,St Clair West,d600_2499,61.5245,
1060,Bennett Road,d600_2499,59.9408,
1061,Bidwill,d600_2499,50.1727,
1062,Blackett,d600_2499,51.4469,
1063,St Clair East,d600_2499,59.2112,
1064,Dharruk,d600_2499,59.5841,
1065,Eastern Creek,d600_2499,56.3549,
1066,Emerton,d600_2499,53.5142,
1067,Hebersham,d600_2499,56.6598,
1068,Lethbridge Park,d600_2499,49.8712,
1069,Whalan South,d600_2499,51.0857,
1070,Minchinbury,d600_2499,56.3373,
1071,Mount Druitt,d600_2499,60.3093,
1072,Mount Druitt North,d600_2499,60.559,
1073,Mount Druitt South,d600_2499,58.5085,
1074,Plumpton,d600_2499,60.3581,
1075,Rooty Hill North,d600_2499,55.9638,
1076,Rooty Hill South,d600_2499,56.3765,
1077,St Clair,d600_2499,56.9273,
1078,St Marys North,d600_2499,52.5631,
1079,Shalvey,d600_2499,49.3786,
1080,Tregear,d600_2499,52.3022,
1081,Whalan,d600_2499,49.725,
1082,Willmot,d600_2499,53.9558,
1083,Erskine Park,d600_2499,53.2856,
1084,Hassall Grove,d600_2499,62.1,
1085,Glendenning,d600_2499,66.2284,
1086,Schofields (Chifley),d600_2499,53.9906,
1087,Dean Park,d600_2499,60.5852,
1088,Marsden Park,d600_2499,45.4545,
1089,Oxley Park,public_housing,4.4864,
1090,St Marys South,public_housing,4.3053,
1091,St Clair West,public_housing,0.3639,
1092,Bennett Road,public_housing,3.4307,
1093,Bidwill,public_housing,42.6528,
1094,Blackett,public_housing,25.2404,
1095,St Clair East,public_housing,1.8418,
1096,Dharruk,public_housing,8.7035,
1097,Eastern Creek,public_housing,0.9615,
1098,Emerton,public_housing,24.5943,
1099,Hebersham,public_housing,10.5809,
1100,Lethbridge Park,public_housing,34.4234,
1101,Whalan South,public_housing,29.8981,
1102,Minchinbury,public_housing,1.6958,
1103,Mount Druitt,public_housing,1.5495,
1104,Mount Druitt North,public_housing,5.1522,
1105,Mount Druitt South,public_housing,4.4959,
1106,Plumpton,public_housing,0,
1107,Rooty Hill North,public_housing,4.5944,
1108,Rooty Hill South,public_housing,6.0914,
1109,St Clair,public_housing,0.4121,
1110,St Marys North,public_housing,19.102,
1111,Shalvey,public_housing,32.1992,
1112,Tregear,public_housing,36.1429,
1113,Whalan,public_housing,34.2077,
1114,Willmot,public_housing,19.1051,
1115,Erskine Park,public_housing,1.233,
1116,Hassall Grove,public_housing,1.5523,
1117,Glendenning,public_housing,4.7157,
1118,Schofields (Chifley),public_housing,0,
1119,Dean Park,public_housing,1.8057,
1120,Marsden Park,public_housing,0,
1121,Oxley Park,m_east,1.6026,
1122,St Marys South,m_east,1.6294,
1123,St Clair West,m_east,1.1311,
1124,Bennett Road,m_east,1.5777,
1125,Bidwill,m_east,0.9463,
1126,Blackett,m_east,0.7948,
1127,St Clair East,m_east,1.8707,
1128,Dharruk,m_east,2.8564,
1129,Eastern Creek,m_east,2.4303,
1130,Emerton,m_east,1.535,
1131,Hebersham,m_east,1.5673,
1132,Lethbridge Park,m_east,0.8715,
1133,Whalan South,m_east,3.1079,
1134,Minchinbury,m_east,1.872,
1135,Mount Druitt,m_east,4.1043,
1136,Mount Druitt North,m_east,6.3105,
1137,Mount Druitt South,m_east,8.666,
1138,Plumpton,m_east,0.9149,
1139,Rooty Hill North,m_east,1.7467,
1140,Rooty Hill South,m_east,0.7925,
1141,St Clair,m_east,1.7476,
1142,St Marys North,m_east,0.6786,
1143,Shalvey,m_east,1.1563,
1144,Tregear,m_east,1.2999,
1145,Whalan,m_east,1.3226,
1146,Willmot,m_east,0.5734,
1147,Erskine Park,m_east,1.5433,
1148,Hassall Grove,m_east,2.4397,
1149,Glendenning,m_east,0.7643,
1150,Schofields (Chifley),m_east,0.6762,
1151,Dean Park,m_east,1.7697,
1152,Marsden Park,m_east,0.2221,
1153,Oxley Park,anglican,19.1899,
1154,St Marys South,anglican,18.4211,
1155,St Clair West,anglican,20.063,
1156,Bennett Road,anglican,20.6168,
1157,Bidwill,anglican,19.0662,
1158,Blackett,anglican,21.9379,
1159,St Clair East,anglican,19.0392,
1160,Dharruk,anglican,16.2133,
1161,Eastern Creek,anglican,14.2959,
1162,Emerton,anglican,17.5327,
1163,Hebersham,anglican,15.8989,
1164,Lethbridge Park,anglican,21.3603,
1165,Whalan South,anglican,22.8328,
1166,Minchinbury,anglican,12.8566,
1167,Mount Druitt,anglican,5.2383,
1168,Mount Druitt North,anglican,10.9652,
1169,Mount Druitt South,anglican,11.6322,
1170,Plumpton,anglican,9.372,
1171,Rooty Hill North,anglican,12.1017,
1172,Rooty Hill South,anglican,15.3914,
1173,St Clair,anglican,20.6651,
1174,St Marys North,anglican,22.578,
1175,Shalvey,anglican,21.2443,
1176,Tregear,anglican,22.0902,
1177,Whalan,anglican,22.1937,
1178,Willmot,anglican,20.1835,
1179,Erskine Park,anglican,20.7606,
1180,Hassall Grove,anglican,13.0709,
1181,Glendenning,anglican,11.549,
1182,Schofields (Chifley),anglican,23.4234,
1183,Dean Park,anglican,15.1383,
1184,Marsden Park,anglican,21.0643,
1185,Oxley Park,internet,69.8446,
1186,St Marys South,internet,71.2606,
1187,St Clair West,internet,85.6535,
1188,Bennett Road,internet,73.5506,
1189,Bidwill,internet,66.9543,
1190,Blackett,internet,65.1965,
1191,St Clair East,internet,85.5049,
1192,Dharruk,internet,74.7263,
1193,Eastern Creek,internet,75.5344,
1194,Emerton,internet,61.6625,
1195,Hebersham,internet,72.9786,
1196,Lethbridge Park,internet,58.5702,
1197,Whalan South,internet,63.0508,
1198,Minchinbury,internet,86.2519,
1199,Mount Druitt,internet,78.7987,
1200,Mount Druitt North,internet,75.0583,
1201,Mount Druitt South,internet,71.6225,
1202,Plumpton,internet,85.9837,
1203,Rooty Hill North,internet,75.2419,
1204,Rooty Hill South,internet,75.7085,
1205,St Clair,internet,82.716,
1206,St Marys North,internet,64.8495,
1207,Shalvey,internet,69.4283,
1208,Tregear,internet,59.1661,
1209,Whalan,internet,62.2951,
1210,Willmot,internet,70.3069,
1211,Erskine Park,internet,87.3623,
1212,Hassall Grove,internet,86.1569,
1213,Glendenning,internet,86.9295,
1214,Schofields (Chifley),internet,74.478,
1215,Dean Park,internet,81.277,
1216,Marsden Park,internet,64.5594,
1217,Oxley Park,d2500,8.575,
1218,St Marys South,d2500,9.3342,
1219,St Clair West,d2500,19.2377,
1220,Bennett Road,d2500,11.1252,
1221,Bidwill,d2500,6.2608,
1222,Blackett,d2500,5.627,
1223,St Clair East,d2500,18.8547,
1224,Dharruk,d2500,8.8608,
1225,Eastern Creek,d2500,19.1847,
1226,Emerton,d2500,5.0555,
1227,Hebersham,d2500,11.2491,
1228,Lethbridge Park,d2500,2.3176,
1229,Whalan South,d2500,5.8286,
1230,Minchinbury,d2500,22.8543,
1231,Mount Druitt,d2500,11.1023,
1232,Mount Druitt North,d2500,8.3851,
1233,Mount Druitt South,d2500,7.7966,
1234,Plumpton,d2500,19.5908,
1235,Rooty Hill North,d2500,13.9062,
1236,Rooty Hill South,d2500,13.7652,
1237,St Clair,d2500,19.9588,
1238,St Marys North,d2500,7.7299,
1239,Shalvey,d2500,6.5452,
1240,Tregear,d2500,2.518,
1241,Whalan,d2500,4.2904,
1242,Willmot,d2500,12.1169,
1243,Erskine Park,d2500,26.8055,
1244,Hassall Grove,d2500,15.7,
1245,Glendenning,d2500,17.7163,
1246,Schofields (Chifley),d2500,18.0751,
1247,Dean Park,d2500,14.9742,
1248,Marsden Park,d2500,14.7002,
1249,Oxley Park,bus_fin,8.8131,
1250,St Marys South,bus_fin,9.6487,
1251,St Clair West,bus_fin,9.6488,
1252,Bennett Road,bus_fin,9.7359,
1253,Bidwill,bus_fin,8.3118,
1254,Blackett,bus_fin,5.4383,
1255,St Clair East,bus_fin,11.372,
1256,Dharruk,bus_fin,7.6308,
1257,Eastern Creek,bus_fin,6.9219,
1258,Emerton,bus_fin,4.3194,
1259,Hebersham,bus_fin,9.9241,
1260,Lethbridge Park,bus_fin,5.1852,
1261,Whalan South,bus_fin,7.9172,
1262,Minchinbury,bus_fin,12.0099,
1263,Mount Druitt,bus_fin,11.7558,
1264,Mount Druitt North,bus_fin,9.6053,
1265,Mount Druitt South,bus_fin,8.4204,
1266,Plumpton,bus_fin,11.7733,
1267,Rooty Hill North,bus_fin,9.6984,
1268,Rooty Hill South,bus_fin,11.2238,
1269,St Clair,bus_fin,11.5673,
1270,St Marys North,bus_fin,7.3541,
1271,Shalvey,bus_fin,8.0717,
1272,Tregear,bus_fin,6.7839,
1273,Whalan,bus_fin,7.9701,
1274,Willmot,bus_fin,10.3067,
1275,Erskine Park,bus_fin,11.1718,
1276,Hassall Grove,bus_fin,10.9249,
1277,Glendenning,bus_fin,11.4402,
1278,Schofields (Chifley),bus_fin,6.8513,
1279,Dean Park,bus_fin,10.0327,
1280,Marsden Park,bus_fin,7.1865,
1281,Oxley Park,asia,5.6672,
1282,St Marys South,asia,6.9832,
1283,St Clair West,asia,8.0475,
1284,Bennett Road,asia,5.4233,
1285,Bidwill,asia,5.9677,
1286,Blackett,asia,3.2538,
1287,St Clair East,asia,6.3377,
1288,Dharruk,asia,7.0457,
1289,Eastern Creek,asia,14.5104,
1290,Emerton,asia,4.1557,
1291,Hebersham,asia,12.3143,
1292,Lethbridge Park,asia,1.968,
1293,Whalan South,asia,4.8156,
1294,Minchinbury,asia,17.4123,
1295,Mount Druitt,asia,25.3804,
1296,Mount Druitt North,asia,16.4901,
1297,Mount Druitt South,asia,11.2513,
1298,Plumpton,asia,24.6742,
1299,Rooty Hill North,asia,20.6715,
1300,Rooty Hill South,asia,15.3507,
1301,St Clair,asia,7.3571,
1302,St Marys North,asia,5.2932,
1303,Shalvey,asia,2.385,
1304,Tregear,asia,1.8826,
1305,Whalan,asia,3.9677,
1306,Willmot,asia,7.3165,
1307,Erskine Park,asia,7.5877,
1308,Hassall Grove,asia,15.5839,
1309,Glendenning,asia,23.1432,
1310,Schofields (Chifley),asia,2.6296,
1311,Dean Park,asia,14.0036,
1312,Marsden Park,asia,2.5907,
1313,Oxley Park,inpsw,18.5856,
1314,St Marys South,inpsw,18.8778,
1315,St Clair West,inpsw,17.6304,
1316,Bennett Road,inpsw,21.2854,
1317,Bidwill,inpsw,19.8966,
1318,Blackett,inpsw,20.7792,
1319,St Clair East,inpsw,18.0183,
1320,Dharruk,inpsw,18.6047,
1321,Eastern Creek,inpsw,18.8513,
1322,Emerton,inpsw,19.2408,
1323,Hebersham,inpsw,18.5823,
1324,Lethbridge Park,inpsw,19.5767,
1325,Whalan South,inpsw,19.9756,
1326,Minchinbury,inpsw,18.857,
1327,Mount Druitt,inpsw,18.9247,
1328,Mount Druitt North,inpsw,18.2237,
1329,Mount Druitt South,inpsw,18.1185,
1330,Plumpton,inpsw,17.5869,
1331,Rooty Hill North,inpsw,17.6403,
1332,Rooty Hill South,inpsw,20.3476,
1333,St Clair,inpsw,18.9499,
1334,St Marys North,inpsw,21.0008,
1335,Shalvey,inpsw,19.5815,
1336,Tregear,inpsw,19.4305,
1337,Whalan,inpsw,17.8082,
1338,Willmot,inpsw,18.1595,
1339,Erskine Park,inpsw,18.6197,
1340,Hassall Grove,inpsw,19.2158,
1341,Glendenning,inpsw,18.3773,
1342,Schofields (Chifley),inpsw,18.0758,
1343,Dean Park,inpsw,19.084,
1344,Marsden Park,inpsw,15.1376,
1345,Oxley Park,long_1,150.7773391,
1346,St Marys South,long_1,150.764765,
1347,St Clair West,long_1,150.7682685,
1348,Bennett Road,long_1,150.7824357,
1349,Bidwill,long_1,150.8151793,
1350,Blackett,long_1,150.8086969,
1351,St Clair East,long_1,150.7901458,
1352,Dharruk,long_1,150.8106611,
1353,Eastern Creek,long_1,150.8414354,
1354,Emerton,long_1,150.798539,
1355,Hebersham,long_1,150.8192862,
1356,Lethbridge Park,long_1,150.7920419,
1357,Whalan South,long_1,150.7916048,
1358,Minchinbury,long_1,150.8221923,
1359,Mount Druitt,long_1,150.8165463,
1360,Mount Druitt North,long_1,150.801199,
1361,Mount Druitt South,long_1,150.8033379,
1362,Plumpton,long_1,150.8289717,
1363,Rooty Hill North,long_1,150.8291574,
1364,Rooty Hill South,long_1,150.836096,
1365,St Clair,long_1,150.7759323,
1366,St Marys North,long_1,150.752163,
1367,Shalvey,long_1,150.800116,
1368,Tregear,long_1,150.7839739,
1369,Whalan,long_1,150.8020237,
1370,Willmot,long_1,150.7596299,
1371,Erskine Park,long_1,150.7753495,
1372,Hassall Grove,long_1,150.8295749,
1373,Glendenning,long_1,150.842701,
1374,Schofields (Chifley),long_1,150.84477,
1375,Dean Park,long_1,150.8486914,
1376,Marsden Park,long_1,150.784981,
1377,Oxley Park,lat_2,-33.76302002,
1378,St Marys South,lat_2,-33.77233394,
1379,St Clair West,lat_2,-33.78407782,
1380,Bennett Road,lat_2,-33.77462137,
1381,Bidwill,lat_2,-33.72456102,
1382,Blackett,lat_2,-33.72862886,
1383,St Clair East,lat_2,-33.78837389,
1384,Dharruk,lat_2,-33.742973,
1385,Eastern Creek,lat_2,-33.78131967,
1386,Emerton,lat_2,-33.73506749,
1387,Hebersham,lat_2,-33.74037515,
1388,Lethbridge Park,lat_2,-33.72890199,
