region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,pct_have_motor,O_OR_Total,O_MTG_Total,R_Tot_Total,Oth_ten_type_Total,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Household,pct_house,pct_unit,pct_semi,pct_own,pct_rent,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6,Total_NofB_NS,Total_NofB_Total,Pct_NofB_1,Pct_NofB_2,Pct_NofB_3,Pct_NofB_4_or_m,Pct_Unem_loyment_P,Pct_LabForc_prticipation_P,Pct_Employment_to_populn_P,Pct_Bchelr_or_higher,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot,Pct_professionals_managers,One_method_Train_P,One_method_Bus_P,One_method_Ferry_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Bicycle_P,One_method_Walked_only_P,pct_one_method_Train,pct_one_method_Bus,pct_one_method_Ferry,pct_one_method_Bicyle,SSC_CODE_2011,SSC_NAME_2011,CONF_VALUE,POA_CODE_2011,AREA_ALBERS_SQKM,suburb,latitude,longtitude,state
SSC60003,32,1050,413,185,948,1.1,807,2.4,0.887737478,155,213,222,0,12,550,3,46,3,0,602,0.913621262,0.07641196,0.004983389,0.611295681,0.368770764,26,48,485,26,6,0,10,591,0.043993232,0.081218274,0.820642978,0.054145516,9.3,51,46.2,0.094224924,17,25,15,55,44,45,3,48,0,252,0.166666667,0,10,0,4,387,50,0,10,0,0.018018018,0,0,60003,Acton (Tas.),Acceptable,7320,0.92982276,ACTON (TAS.),-41.070069,145.893987,
SSC60004,40,1800,721,300,1982,1,1921,3.2,1,270,362,26,0,10,665,0,0,3,0,668,0.995508982,0,0,0.946107784,0.038922156,6,15,222,316,90,14,6,663,0.009049774,0.022624434,0.334841629,0.633484163,3.1,69.4,67.3,0.422668241,69,143,22,56,160,65,3,10,9,537,0.401515152,0,16,0,3,776,64,3,9,0,0.014184397,0,0.002659574,60004,Acton Park (Tas.),Good,7170,20.25281116,ACTON PARK (TAS.),-42.865743,147.469888,
SSC60005,55,1083,377,100,795,1.1,621,1.9,0.940425532,136,56,45,4,5,226,9,3,8,0,246,0.918699187,0.012195122,0.036585366,0.780487805,0.182926829,27,88,86,27,4,3,5,235,0.114893617,0.374468085,0.365957447,0.144680851,10.4,45.7,40.9,0.338164251,15,12,7,13,15,4,0,20,3,89,0.313953488,0,3,0,0,92,6,6,6,0,0.015706806,0,0.031413613,60005,Adventure Bay,Very poor,7150,249.9185661,ADVENTURE BAY,-43.355794,147.326117,
SSC60006,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,60006,Akaroa,Very poor,7216,12.12037645,AKAROA,-41.304515,148.316711,
SSC60007,42,1733,689,300,1587,1.1,1630,3,1,60,81,14,0,3,152,0,3,3,0,158,0.962025316,0.018987342,0,0.892405063,0.088607595,9,19,75,44,5,3,3,155,0.058064516,0.122580645,0.483870968,0.335483871,2.3,73.7,72,0.504807692,9,43,9,13,33,11,0,3,0,121,0.429752066,0,3,0,3,168,9,3,3,0,0.011952191,0,0.011952191,60007,Allens Rivulet,Very good,7150,11.97231464,ALLENS RIVULET,-43.355794,147.326117,
SSC60008,40,1517,539,225,1381,1.1,1148,2.6,0.965250965,134,89,35,3,3,264,0,0,0,0,264,1,0,0,0.84469697,0.132575758,3,24,146,75,13,0,3,261,0.011494253,0.091954023,0.559386973,0.337164751,4,60.5,58.1,0.246212121,7,36,4,30,35,23,3,13,6,157,0.284768212,0,5,0,3,246,22,4,0,0,0.01497006,0,0.011976048,60008,Ambleside,Very good,7310,1.09158159,AMBLESIDE,-41.241121,146.324486,
SSC60009,50,762,352,120,825,1.1,704,2.4,0.956834532,74,37,21,0,13,142,0,0,0,3,145,0.979310345,0,0,0.765517241,0.144827586,12,33,62,25,7,3,4,142,0.084507042,0.232394366,0.436619718,0.246478873,11.7,47.2,41.7,0.271028037,18,9,13,6,4,0,0,6,0,56,0.482142857,0,0,0,0,56,7,0,10,0,0,0,0,60009,Ansons Bay,Poor,7216,776.2632268,ANSONS BAY,-41.304515,148.316711,
SSC60010,37,1408,532,0,1163,1.1,1083,2.5,1,47,26,47,3,3,126,0,0,0,0,126,1,0,0,0.579365079,0.373015873,5,22,65,26,3,3,3,124,0.040322581,0.177419355,0.524193548,0.258064516,5.3,63.4,60,0.22826087,23,6,0,4,12,6,0,22,3,76,0.397260274,0,0,0,0,81,0,3,14,0,0,0,0.016949153,60010,Arthur River (Tas.),Very poor,7330,685.2857256,ARTHUR RIVER (TAS.),-40.934871,145.185229,
SSC60011,38,1517,605,280,1344,1.1,1184,2.5,0.958937198,259,397,168,3,21,791,46,8,3,0,848,0.932783019,0.009433962,0.054245283,0.773584906,0.198113208,22,125,494,156,27,5,20,829,0.026537998,0.150784077,0.595898673,0.226779252,3.8,64.6,62.1,0.224403927,33,89,23,100,155,77,3,39,11,530,0.235067437,0,39,0,0,773,80,0,13,0,0.035454545,0,0,60011,Austins Ferry,Very good,7011,2.13617861,AUSTINS FERRY,-42.766405,147.243418,
SSC60012,40,698,334,90,778,1.1,656,2.5,0.932773109,60,24,29,0,3,116,0,0,0,0,116,1,0,0,0.724137931,0.25,7,19,70,19,0,0,3,115,0.060869565,0.165217391,0.608695652,0.165217391,14.9,48.7,41.5,0.254545455,9,5,0,7,3,6,3,14,0,47,0.29787234,0,0,0,0,50,4,0,5,0,0,0,0,60012,Avoca (Tas.),Poor,7213,904.9225154,AVOCA (TAS.),-41.782149,147.720441,
